idstd,inno,Manufacturing,Production
562277,1.0,False,False
562278,0.0,False,False
562280,1.0,False,False
562281,1.0,False,False
562283,1.0,False,False
562284,1.0,False,False
562287,1.0,False,False
562288,1.0,False,False
562289,1.0,False,False
562291,1.0,False,False
562298,1.0,False,False
562304,1.0,False,False
562305,1.0,False,False
562309,1.0,False,False
562314,1.0,False,False
562317,1.0,False,False
562318,1.0,False,False
562321,1.0,False,False
562323,0.0,False,False
562327,0.0,False,False
562329,1.0,False,False
562333,0.0,False,False
562343,1.0,False,False
562345,1.0,False,False
562347,0.0,False,False
562350,1.0,False,False
562352,0.0,False,False
562356,1.0,False,False
562367,1.0,False,False
562368,1.0,False,False
562370,0.0,False,False
562372,0.0,False,False
562377,1.0,False,False
562383,1.0,False,False
562386,1.0,False,False
562388,1.0,False,False
562393,1.0,False,False
562397,1.0,False,False
562401,1.0,False,False
562405,1.0,False,False
562407,1.0,False,False
562409,1.0,False,False
562410,1.0,False,False
562411,1.0,False,False
562412,1.0,False,False
562414,1.0,False,False
562416,1.0,False,False
562417,1.0,False,False
562422,1.0,False,False
562440,0.0,False,False
562448,1.0,False,False
562455,1.0,False,False
562462,1.0,False,False
562466,1.0,False,False
562467,1.0,False,False
562470,1.0,False,False
562475,1.0,False,False
562477,1.0,False,False
562481,1.0,False,False
562484,1.0,False,False
562491,1.0,False,False
562493,1.0,False,False
562497,1.0,False,False
562500,1.0,False,False
562501,1.0,False,False
562502,1.0,False,False
562503,1.0,False,False
562507,1.0,False,False
562508,1.0,False,False
562509,1.0,False,False
562510,1.0,False,False
562511,1.0,False,False
562512,1.0,False,False
562514,1.0,False,False
562515,1.0,False,False
562520,1.0,False,False
562524,1.0,False,False
562527,1.0,False,False
562534,1.0,False,False
562548,0.0,False,False
562550,1.0,False,False
562554,1.0,False,False
562555,1.0,False,False
562559,1.0,False,False
562562,0.0,False,False
562566,1.0,False,False
562568,0.0,False,False
562574,1.0,False,False
562578,1.0,False,False
562580,1.0,False,False
562581,1.0,False,False
562583,0.0,False,False
562584,0.0,False,False
562585,1.0,False,False
562605,1.0,False,False
562606,1.0,False,False
562609,1.0,False,False
562610,1.0,False,False
562612,1.0,False,False
562613,1.0,False,False
562614,1.0,False,False
562623,1.0,False,False
562626,0.0,False,False
562628,1.0,False,False
562630,1.0,False,False
562631,1.0,False,False
562632,0.0,False,False
562633,1.0,False,False
562638,1.0,False,False
562640,1.0,False,False
562643,0.0,True,False
562647,1.0,False,False
562648,1.0,False,False
562649,1.0,False,False
562650,1.0,False,False
562652,1.0,False,False
562653,1.0,False,False
562654,1.0,False,False
562655,1.0,False,False
562656,1.0,False,False
562657,1.0,False,False
562658,1.0,False,False
562661,1.0,False,False
562662,1.0,False,False
562663,1.0,False,False
562666,1.0,False,False
562667,1.0,False,False
562669,1.0,False,False
562673,1.0,False,False
562674,1.0,False,False
562676,1.0,False,False
562677,1.0,False,False
562679,1.0,False,False
562680,1.0,False,False
562681,1.0,False,False
562685,1.0,False,False
562691,1.0,False,False
562695,1.0,True,False
562696,1.0,True,False
562697,1.0,True,False
562701,1.0,True,False
562702,1.0,True,False
562704,1.0,True,False
562706,1.0,True,False
562712,1.0,False,False
562713,1.0,False,False
562714,1.0,False,False
562716,1.0,False,False
562717,1.0,False,False
562721,1.0,False,False
562722,1.0,False,False
562725,0.0,False,False
562726,0.0,False,False
562727,1.0,False,False
562728,1.0,False,False
562729,1.0,False,False
562736,1.0,False,False
562737,1.0,False,False
562740,1.0,False,False
562741,1.0,False,False
562744,1.0,False,False
562745,1.0,False,False
562746,1.0,False,False
562752,0.0,False,False
562755,1.0,False,False
562756,1.0,False,False
562757,1.0,True,False
562761,0.0,False,False
562762,1.0,False,False
562763,1.0,False,False
562765,1.0,False,False
562768,1.0,False,False
562772,1.0,True,False
562775,1.0,True,False
562777,1.0,False,False
562778,1.0,False,False
562780,1.0,False,False
562782,0.0,False,False
562785,1.0,False,False
562786,1.0,False,False
562789,1.0,True,False
562791,1.0,False,False
562797,1.0,False,False
562798,0.0,False,False
562801,0.0,False,False
562802,1.0,False,False
562806,0.0,False,False
562807,1.0,False,False
562809,0.0,False,False
562810,0.0,False,False
562812,0.0,False,False
562815,1.0,False,False
562818,0.0,False,False
562820,1.0,False,False
562827,1.0,False,False
562828,1.0,False,False
562831,1.0,False,False
562833,1.0,False,False
562834,1.0,False,False
562835,1.0,False,False
562836,1.0,False,False
562843,1.0,False,False
562849,1.0,False,False
562852,1.0,False,False
562855,1.0,False,False
562857,1.0,False,False
562858,1.0,False,False
562860,0.0,True,False
562861,1.0,True,False
562862,0.0,False,False
562863,1.0,False,False
562864,0.0,False,False
562865,0.0,False,False
562866,1.0,True,False
562874,0.0,False,False
562875,0.0,False,False
562876,0.0,False,False
562878,1.0,False,False
562879,1.0,False,False
562881,1.0,False,False
562886,1.0,False,False
562889,1.0,False,False
562890,1.0,False,False
562891,1.0,False,False
562898,1.0,False,False
562901,1.0,False,False
562904,1.0,False,False
562905,1.0,False,False
562908,1.0,False,False
562913,1.0,False,False
562914,1.0,False,False
562915,1.0,False,False
562916,1.0,False,False
562921,1.0,False,False
562925,1.0,True,False
562926,1.0,False,False
562929,1.0,False,False
562930,1.0,False,False
562932,1.0,False,False
562933,1.0,False,False
562934,1.0,False,False
562935,1.0,False,False
562936,1.0,True,False
562938,1.0,False,False
562939,1.0,False,False
562945,1.0,False,False
562946,1.0,False,False
562948,1.0,False,False
562951,1.0,False,False
562952,1.0,False,False
562956,1.0,False,False
562960,1.0,False,False
562961,1.0,False,False
562967,1.0,False,False
562968,1.0,False,False
562971,1.0,False,False
562972,1.0,False,False
562974,1.0,False,False
562975,1.0,False,False
562977,1.0,False,False
562980,1.0,False,False
562982,0.0,False,False
562983,1.0,False,False
562988,1.0,False,False
562989,1.0,False,False
562990,1.0,False,False
562992,1.0,False,False
562994,1.0,False,False
562995,1.0,False,False
562998,1.0,False,False
563007,1.0,False,False
563008,1.0,False,False
563011,1.0,False,False
563014,1.0,False,False
563015,1.0,False,False
563019,1.0,False,False
563020,1.0,False,False
563022,1.0,False,False
563023,1.0,False,False
563025,0.0,False,False
563029,1.0,False,False
563030,1.0,False,False
563038,1.0,False,False
563041,1.0,False,False
563053,1.0,False,False
563055,0.0,False,False
563057,1.0,False,False
563058,0.0,False,False
563059,1.0,False,False
563060,1.0,False,False
563061,1.0,False,False
563062,0.0,False,False
563063,1.0,False,False
563064,1.0,False,False
563065,1.0,False,False
563066,1.0,False,False
563067,1.0,False,False
563069,1.0,False,False
563071,1.0,False,False
563073,1.0,False,False
563074,1.0,False,False
563075,1.0,False,False
563076,1.0,False,False
563077,1.0,False,False
563078,1.0,False,False
563079,1.0,False,False
563081,1.0,False,False
563085,0.0,False,False
563087,0.0,False,False
563088,1.0,False,False
563091,1.0,False,False
563093,0.0,False,False
563095,1.0,False,False
563097,0.0,False,False
563098,1.0,False,False
563101,1.0,False,False
563104,1.0,False,False
563105,1.0,False,False
563106,1.0,False,False
563109,1.0,False,False
563110,1.0,False,False
563111,1.0,False,False
563118,1.0,False,False
563120,1.0,False,False
563122,0.0,False,False
563125,1.0,False,False
563131,1.0,True,False
563132,1.0,False,False
563135,1.0,False,False
563138,1.0,False,False
563146,1.0,False,False
563147,1.0,False,False
563149,1.0,False,False
563151,1.0,False,False
