idstd,b5,Anciennete,Country
562277,2003,10,IN
562278,1982,31,IN
562280,1975,38,IN
562281,1990,23,IN
562283,2010,3,IN
562284,2009,4,IN
562287,2002,11,IN
562288,2002,11,IN
562289,1996,17,IN
562291,2006,7,IN
562298,2010,3,IN
562304,1992,21,IN
562305,1985,28,IN
562309,2006,7,IN
562314,2010,3,IN
562317,2009,4,IN
562318,2010,3,IN
562321,2005,8,IN
562323,2010,3,IN
562327,2005,8,IN
562329,1995,18,IN
562333,1984,29,IN
562343,2004,9,IN
562345,2010,3,IN
562347,2006,7,IN
562350,2010,3,IN
562352,2007,6,IN
562356,2006,7,IN
562367,2002,11,IN
562368,2005,8,IN
562370,2005,8,IN
562372,2006,7,IN
562377,2003,10,IN
562383,1999,14,IN
562386,1996,17,IN
562388,2004,9,IN
562393,2005,8,IN
562397,2011,2,IN
562401,2008,5,IN
562405,2011,2,IN
562407,2011,2,IN
562409,2009,4,IN
562410,2007,6,IN
562411,2007,6,IN
562412,2006,7,IN
562414,2009,4,IN
562416,2009,4,IN
562417,2004,9,IN
562422,1999,14,IN
562440,2009,4,IN
562448,1997,16,IN
562455,2001,12,IN
562462,2003,10,IN
562466,2006,7,IN
562467,2005,8,IN
562470,2001,12,IN
562475,2005,8,IN
562477,2009,4,IN
562481,2009,4,IN
562484,2003,10,IN
562491,1996,17,IN
562493,2000,13,IN
562497,2002,11,IN
562500,2002,11,IN
562501,2010,3,IN
562502,1992,21,IN
562503,2006,7,IN
562507,2010,3,IN
562508,1990,23,IN
562509,2004,9,IN
562510,2003,10,IN
562511,1980,33,IN
562512,2007,6,IN
562514,1988,25,IN
562515,1998,15,IN
562520,2005,8,IN
562524,2009,4,IN
562527,2000,13,IN
562534,1997,16,IN
562548,1982,31,IN
562550,2001,12,IN
562554,2005,8,IN
562555,1998,15,IN
562559,1992,21,IN
562562,2008,5,IN
562566,2006,7,IN
562568,2007,6,IN
562574,2009,4,IN
562578,2006,7,IN
562580,2006,7,IN
562581,2007,6,IN
562583,2009,4,IN
562584,1989,24,IN
562585,2009,4,IN
562605,2010,3,IN
562606,1998,15,IN
562609,2001,12,IN
562610,1985,28,IN
562612,2001,12,IN
562613,2007,6,IN
562614,2004,9,IN
562623,Dont know,UNKNOWN,IN
562626,1967,46,IN
562628,1979,34,IN
562630,1980,33,IN
562631,1997,16,IN
562632,1972,41,IN
562633,2000,13,IN
562638,1992,21,IN
562640,2000,13,IN
562643,2004,9,IN
562647,1980,33,IN
562648,2000,13,IN
562649,1998,15,IN
562650,2001,12,IN
562652,1992,21,IN
562653,1998,15,IN
562654,1992,21,IN
562655,1987,26,IN
562656,1969,44,IN
562657,2000,13,IN
562658,2001,12,IN
562661,2001,12,IN
562662,2001,12,IN
562663,1993,20,IN
562666,1993,20,IN
562667,1965,48,IN
562669,1920,93,IN
562673,1975,38,IN
562674,1991,22,IN
562676,1948,65,IN
562677,1989,24,IN
562679,1995,18,IN
562680,1946,67,IN
562681,1984,29,IN
562685,2009,4,IN
562691,1990,23,IN
562695,2005,8,IN
562696,2002,11,IN
562697,2005,8,IN
562701,1983,30,IN
562702,2000,13,IN
562704,2000,13,IN
562706,2004,9,IN
562712,1995,18,IN
562713,1990,23,IN
562714,1996,17,IN
562716,1964,49,IN
562717,1983,30,IN
562721,1996,17,IN
562722,1988,25,IN
562725,2000,13,IN
562726,2006,7,IN
562727,1983,30,IN
562728,2002,11,IN
562729,1986,27,IN
562736,1967,46,IN
562737,1969,44,IN
562740,1970,43,IN
562741,2002,11,IN
562744,2004,9,IN
562745,2003,10,IN
562746,2000,13,IN
562752,2001,12,IN
562755,2002,11,IN
562756,1980,33,IN
562757,2000,13,IN
562761,1991,22,IN
562762,1992,21,IN
562763,2003,10,IN
562765,1995,18,IN
562768,1989,24,IN
562772,1998,15,IN
562775,2000,13,IN
562777,1992,21,IN
562778,1996,17,IN
562780,2003,10,IN
562782,2000,13,IN
562785,2000,13,IN
562786,2000,13,IN
562789,2001,12,IN
562791,2001,12,IN
562797,2000,13,IN
562798,2000,13,IN
562801,1998,15,IN
562802,2006,7,IN
562806,1994,19,IN
562807,2010,3,IN
562809,2002,11,IN
562810,2005,8,IN
562812,1990,23,IN
562815,1990,23,IN
562818,1980,33,IN
562820,1995,18,IN
562827,2005,8,IN
562828,1998,15,IN
562831,2009,4,IN
562833,1995,18,IN
562834,2004,9,IN
562835,2006,7,IN
562836,1996,17,IN
562843,1979,34,IN
562849,2005,8,IN
562852,2008,5,IN
562855,2003,10,IN
562857,2003,10,IN
562858,1995,18,IN
562860,1977,36,IN
562861,1985,28,IN
562862,1987,26,IN
562863,1983,30,IN
562864,1983,30,IN
562865,1998,15,IN
562866,2009,4,IN
562874,1994,19,IN
562875,1998,15,IN
562876,2004,9,IN
562878,1982,31,IN
562879,2005,8,IN
562881,2005,8,IN
562886,2005,8,IN
562889,2002,11,IN
562890,2003,10,IN
562891,1993,20,IN
562898,2000,13,IN
562901,1998,15,IN
562904,2001,12,IN
562905,1995,18,IN
562908,2000,13,IN
562913,1979,34,IN
562914,1992,21,IN
562915,1998,15,IN
562916,2000,13,IN
562921,1993,20,IN
562925,1983,30,IN
562926,2008,5,IN
562929,1998,15,IN
562930,2000,13,IN
562932,2008,5,IN
562933,1993,20,IN
562934,1991,22,IN
562935,1986,27,IN
562936,1995,18,IN
562938,2007,6,IN
562939,1995,18,IN
562945,2002,11,IN
562946,1980,33,IN
562948,1974,39,IN
562951,2004,9,IN
562952,2008,5,IN
562956,2008,5,IN
562960,1991,22,IN
562961,2007,6,IN
562967,1977,36,IN
562968,1980,33,IN
562971,2005,8,IN
562972,1980,33,IN
562974,1979,34,IN
562975,1980,33,IN
562977,1993,20,IN
562980,2009,4,IN
562982,2004,9,IN
562983,1979,34,IN
562988,2010,3,IN
562989,1992,21,IN
562990,1996,17,IN
562992,2004,9,IN
562994,1984,29,IN
562995,2012,1,IN
562998,1996,17,IN
563007,1992,21,IN
563008,1983,30,IN
563011,2002,11,IN
563014,2010,3,IN
563015,2010,3,IN
563019,1992,21,IN
563020,1992,21,IN
563022,1995,18,IN
563023,1985,28,IN
563025,2003,10,IN
563029,2006,7,IN
563030,1974,39,IN
563038,1990,23,IN
563041,1998,15,IN
563053,1985,28,IN
563055,2003,10,IN
563057,1993,20,IN
563058,1990,23,IN
563059,1994,19,IN
563060,1942,71,IN
563061,1985,28,IN
563062,Dont know,UNKNOWN,IN
563063,2008,5,IN
563064,1999,14,IN
563065,2004,9,IN
563066,1968,45,IN
563067,1990,23,IN
563069,1972,41,IN
563071,2004,9,IN
563073,1982,31,IN
563074,2003,10,IN
563075,1974,39,IN
563076,2004,9,IN
563077,1948,65,IN
563078,1985,28,IN
563079,1987,26,IN
563081,1980,33,IN
563085,1998,15,IN
563087,2000,13,IN
563088,1990,23,IN
563091,1990,23,IN
563093,1985,28,IN
563095,1980,33,IN
563097,2003,10,IN
563098,1997,16,IN
563101,1959,54,IN
563104,1998,15,IN
563105,2007,6,IN
563106,2007,6,IN
563109,1993,20,IN
563110,1983,30,IN
563111,1988,25,IN
563118,2004,9,IN
563120,2007,6,IN
563122,2001,12,IN
563125,2002,11,IN
563131,1996,17,IN
563132,1998,15,IN
563135,2007,6,IN
563138,2006,7,IN
563146,1990,23,IN
563147,2000,13,IN
563149,2009,4,IN
563151,2005,8,IN
