idstd,hd7,colab,country
562277,2,0,IN
562278,2,0,IN
562280,2,0,IN
562281,2,0,IN
562283,2,0,IN
562284,2,0,IN
562287,2,0,IN
562288,2,0,IN
562289,2,0,IN
562291,2,0,IN
562298,1,1,IN
562304,2,0,IN
562305,2,0,IN
562309,1,1,IN
562314,1,1,IN
562317,-9,0,IN
562318,-9,0,IN
562321,1,1,IN
562323,,,IN
562327,1,1,IN
562329,2,0,IN
562333,2,0,IN
562343,2,0,IN
562345,2,0,IN
562347,1,1,IN
562350,2,0,IN
562352,1,1,IN
562356,1,1,IN
562367,,,IN
562368,,,IN
562370,2,0,IN
562372,1,1,IN
562377,,,IN
562383,2,0,IN
562386,2,0,IN
562388,2,0,IN
562393,2,0,IN
562397,2,0,IN
562401,2,0,IN
562405,1,1,IN
562407,2,0,IN
562409,2,0,IN
562410,2,0,IN
562411,2,0,IN
562412,2,0,IN
562414,2,0,IN
562416,2,0,IN
562417,2,0,IN
562422,2,0,IN
562440,2,0,IN
562448,2,0,IN
562455,2,0,IN
562462,2,0,IN
562466,2,0,IN
562467,,,IN
562470,2,0,IN
562475,2,0,IN
562477,2,0,IN
562481,,,IN
562484,2,0,IN
562491,2,0,IN
562493,2,0,IN
562497,2,0,IN
562500,2,0,IN
562501,2,0,IN
562502,2,0,IN
562503,2,0,IN
562507,2,0,IN
562508,2,0,IN
562509,1,1,IN
562510,2,0,IN
562511,2,0,IN
562512,2,0,IN
562514,2,0,IN
562515,2,0,IN
562520,2,0,IN
562524,2,0,IN
562527,1,1,IN
562534,1,1,IN
562548,2,0,IN
562550,1,1,IN
562554,2,0,IN
562555,2,0,IN
562559,2,0,IN
562562,2,0,IN
562566,,,IN
562568,2,0,IN
562574,2,0,IN
562578,,,IN
562580,2,0,IN
562581,,,IN
562583,2,0,IN
562584,,,IN
562585,1,1,IN
562605,2,0,IN
562606,2,0,IN
562609,2,0,IN
562610,2,0,IN
562612,2,0,IN
562613,,,IN
562614,2,0,IN
562623,1,1,IN
562626,2,0,IN
562628,2,0,IN
562630,,,IN
562631,2,0,IN
562632,2,0,IN
562633,2,0,IN
562638,2,0,IN
562640,1,1,IN
562643,2,0,IN
562647,1,1,IN
562648,1,1,IN
562649,,,IN
562650,2,0,IN
562652,2,0,IN
562653,1,1,IN
562654,2,0,IN
562655,2,0,IN
562656,,,IN
562657,2,0,IN
562658,2,0,IN
562661,2,0,IN
562662,2,0,IN
562663,2,0,IN
562666,2,0,IN
562667,2,0,IN
562669,2,0,IN
562673,,,IN
562674,2,0,IN
562676,,,IN
562677,,,IN
562679,2,0,IN
562680,2,0,IN
562681,1,1,IN
562685,1,1,IN
562691,,,IN
562695,1,1,IN
562696,1,1,IN
562697,1,1,IN
562701,1,1,IN
562702,1,1,IN
562704,1,1,IN
562706,1,1,IN
562712,2,0,IN
562713,2,0,IN
562714,1,1,IN
562716,2,0,IN
562717,2,0,IN
562721,,,IN
562722,,,IN
562725,1,1,IN
562726,1,1,IN
562727,1,1,IN
562728,2,0,IN
562729,,,IN
562736,2,0,IN
562737,2,0,IN
562740,1,1,IN
562741,2,0,IN
562744,,,IN
562745,2,0,IN
562746,2,0,IN
562752,2,0,IN
562755,2,0,IN
562756,2,0,IN
562757,,,IN
562761,2,0,IN
562762,,,IN
562763,2,0,IN
562765,2,0,IN
562768,2,0,IN
562772,1,1,IN
562775,1,1,IN
562777,,,IN
562778,1,1,IN
562780,2,0,IN
562782,2,0,IN
562785,2,0,IN
562786,,,IN
562789,1,1,IN
562791,1,1,IN
562797,2,0,IN
562798,1,1,IN
562801,2,0,IN
562802,2,0,IN
562806,1,1,IN
562807,,,IN
562809,,,IN
562810,,,IN
562812,1,1,IN
562815,1,1,IN
562818,1,1,IN
562820,2,0,IN
562827,,,IN
562828,1,1,IN
562831,2,0,IN
562833,1,1,IN
562834,,,IN
562835,-9,0,IN
562836,2,0,IN
562843,2,0,IN
562849,,,IN
562852,,,IN
562855,,,IN
562857,2,0,IN
562858,2,0,IN
562860,2,0,IN
562861,2,0,IN
562862,2,0,IN
562863,2,0,IN
562864,,,IN
562865,2,0,IN
562866,2,0,IN
562874,2,0,IN
562875,2,0,IN
562876,2,0,IN
562878,2,0,IN
562879,2,0,IN
562881,2,0,IN
562886,2,0,IN
562889,2,0,IN
562890,2,0,IN
562891,2,0,IN
562898,2,0,IN
562901,2,0,IN
562904,1,1,IN
562905,2,0,IN
562908,2,0,IN
562913,2,0,IN
562914,2,0,IN
562915,2,0,IN
562916,1,1,IN
562921,2,0,IN
562925,2,0,IN
562926,2,0,IN
562929,2,0,IN
562930,1,1,IN
562932,1,1,IN
562933,1,1,IN
562934,1,1,IN
562935,1,1,IN
562936,1,1,IN
562938,1,1,IN
562939,2,0,IN
562945,2,0,IN
562946,2,0,IN
562948,1,1,IN
562951,2,0,IN
562952,1,1,IN
562956,1,1,IN
562960,2,0,IN
562961,1,1,IN
562967,2,0,IN
562968,2,0,IN
562971,2,0,IN
562972,2,0,IN
562974,2,0,IN
562975,1,1,IN
562977,2,0,IN
562980,1,1,IN
562982,2,0,IN
562983,2,0,IN
562988,2,0,IN
562989,2,0,IN
562990,2,0,IN
562992,2,0,IN
562994,2,0,IN
562995,2,0,IN
562998,2,0,IN
563007,2,0,IN
563008,2,0,IN
563011,2,0,IN
563014,2,0,IN
563015,1,1,IN
563019,2,0,IN
563020,2,0,IN
563022,2,0,IN
563023,2,0,IN
563025,2,0,IN
563029,2,0,IN
563030,2,0,IN
563038,2,0,IN
563041,2,0,IN
563053,2,0,IN
563055,2,0,IN
563057,2,0,IN
563058,2,0,IN
563059,1,1,IN
563060,1,1,IN
563061,2,0,IN
563062,1,1,IN
563063,1,1,IN
563064,1,1,IN
563065,1,1,IN
563066,,,IN
563067,1,1,IN
563069,,,IN
563071,1,1,IN
563073,1,1,IN
563074,1,1,IN
563075,2,0,IN
563076,2,0,IN
563077,2,0,IN
563078,2,0,IN
563079,-9,0,IN
563081,2,0,IN
563085,,,IN
563087,2,0,IN
563088,2,0,IN
563091,2,0,IN
563093,1,1,IN
563095,2,0,IN
563097,1,1,IN
563098,,,IN
563101,2,0,IN
563104,1,1,IN
563105,1,1,IN
563106,2,0,IN
563109,2,0,IN
563110,2,0,IN
563111,1,1,IN
563118,2,0,IN
563120,2,0,IN
563122,2,0,IN
563125,2,0,IN
563131,2,0,IN
563132,,,IN
563135,1,1,IN
563138,1,1,IN
563146,,,IN
563147,2,0,IN
563149,1,1,IN
563151,,,IN
563155,,,IN
563156,2,0,IN
563161,2,0,IN
563162,2,0,IN
563168,2,0,IN
563170,2,0,IN
563173,2,0,IN
563175,2,0,IN
563176,2,0,IN
563178,2,0,IN
563179,2,0,IN
563180,2,0,IN
563181,2,0,IN
563182,2,0,IN
563186,2,0,IN
563188,2,0,IN
563192,,,IN
563194,2,0,IN
563202,2,0,IN
563205,1,1,IN
563207,2,0,IN
563213,2,0,IN
563215,2,0,IN
563218,2,0,IN
563219,1,1,IN
563222,2,0,IN
563225,1,1,IN
563231,2,0,IN
563235,2,0,IN
563247,-9,0,IN
563249,2,0,IN
563253,1,1,IN
563255,,,IN
563257,2,0,IN
563263,2,0,IN
563269,2,0,IN
563270,1,1,IN
563272,1,1,IN
563274,2,0,IN
563277,1,1,IN
563279,1,1,IN
563285,2,0,IN
563286,2,0,IN
563288,2,0,IN
563290,2,0,IN
563291,1,1,IN
563292,2,0,IN
563295,2,0,IN
563296,2,0,IN
563298,2,0,IN
563301,1,1,IN
563306,2,0,IN
563307,,,IN
563309,1,1,IN
563310,1,1,IN
563312,2,0,IN
563314,1,1,IN
563315,2,0,IN
563316,2,0,IN
563317,2,0,IN
563320,2,0,IN
563321,2,0,IN
563322,2,0,IN
563325,2,0,IN
563332,2,0,IN
563337,1,1,IN
563345,1,1,IN
563346,1,1,IN
563348,2,0,IN
563350,2,0,IN
563351,1,1,IN
563352,,,IN
563353,2,0,IN
563354,2,0,IN
563356,1,1,IN
563358,1,1,IN
563359,2,0,IN
563360,2,0,IN
563365,2,0,IN
563378,2,0,IN
563381,1,1,IN
563384,,,IN
563385,,,IN
563386,2,0,IN
563393,2,0,IN
563394,2,0,IN
563397,2,0,IN
563399,2,0,IN
563401,1,1,IN
563402,2,0,IN
563405,2,0,IN
563407,2,0,IN
563410,2,0,IN
563411,1,1,IN
563415,2,0,IN
563416,2,0,IN
563419,2,0,IN
563422,1,1,IN
563423,2,0,IN
563425,,,IN
563427,1,1,IN
563429,2,0,IN
563431,2,0,IN
563432,,,IN
563433,2,0,IN
563436,1,1,IN
563439,1,1,IN
563440,,,IN
563443,2,0,IN
563444,1,1,IN
563448,2,0,IN
563449,2,0,IN
563451,2,0,IN
563456,1,1,IN
563459,2,0,IN
563460,,,IN
563461,2,0,IN
563462,2,0,IN
563465,2,0,IN
563467,,,IN
563468,,,IN
563469,,,IN
563471,2,0,IN
563472,2,0,IN
563473,2,0,IN
563474,2,0,IN
563475,1,1,IN
563476,2,0,IN
563478,2,0,IN
563480,2,0,IN
563481,1,1,IN
563489,,,IN
563490,2,0,IN
563491,,,IN
563492,1,1,IN
563493,,,IN
563495,1,1,IN
563496,1,1,IN
563497,1,1,IN
563498,2,0,IN
563501,2,0,IN
563503,,,IN
563504,,,IN
563515,2,0,IN
563518,-9,0,IN
563521,,,IN
563525,2,0,IN
563528,,,IN
563533,,,IN
563535,,,IN
563537,,,IN
563538,,,IN
563539,,,IN
563542,,,IN
563545,,,IN
563551,,,IN
563552,,,IN
563553,,,IN
563556,,,IN
563559,,,IN
563560,,,IN
563563,,,IN
563564,,,IN
