idstd,ha1,ha6,ha1_binary,IT,Country
562277,15,1,2,0,India
562278,60,1,1,1,India
562280,25,1,2,0,India
562281,30,1,1,1,India
562283,50,1,1,1,India
562284,20,1,2,0,India
562287,70,1,1,1,India
562288,10,1,2,0,India
562289,15,1,2,0,India
562291,60,1,1,1,India
562298,6,1,2,0,India
562304,5,1,2,0,India
562305,20,1,2,0,India
562309,9,1,2,0,India
562314,5,1,2,0,India
562317,25,1,2,0,India
562318,-9,2,-9,0,India
562321,10,1,2,0,India
562323,35,1,1,1,India
562327,55,1,1,1,India
562329,12,1,2,0,India
562333,50,1,1,1,India
562343,50,1,1,1,India
562345,50,1,1,1,India
562347,10,1,2,0,India
562350,60,2,1,0,India
562352,15,1,2,0,India
562356,10,1,2,0,India
562367,15,1,2,0,India
562368,10,2,2,0,India
562370,80,1,1,1,India
562372,30,1,1,1,India
562377,25,1,2,0,India
562383,40,1,1,1,India
562386,20,1,2,0,India
562388,40,1,1,1,India
562393,30,1,1,1,India
562397,40,1,1,1,India
562401,40,1,1,1,India
562405,20,1,2,0,India
562407,60,1,1,1,India
562409,15,1,2,0,India
562410,50,1,1,1,India
562411,60,1,1,1,India
562412,45,1,1,1,India
562414,40,1,1,1,India
562416,70,1,1,1,India
562417,15,1,2,0,India
562422,20,1,2,0,India
562440,12,1,2,0,India
562448,15,1,2,0,India
562455,40,1,1,1,India
562462,10,1,2,0,India
562466,30,1,1,1,India
562467,20,1,2,0,India
562470,45,1,1,1,India
562475,10,1,2,0,India
562477,40,1,1,1,India
562481,45,1,1,1,India
562484,15,1,2,0,India
562491,50,1,1,1,India
562493,20,1,2,0,India
562497,25,1,2,0,India
562500,45,1,1,1,India
562501,10,1,2,0,India
562502,30,1,1,1,India
562503,5,1,2,0,India
562507,75,1,1,1,India
562508,20,1,2,0,India
562509,60,1,1,1,India
562510,20,1,2,0,India
562511,20,1,2,0,India
562512,70,1,1,1,India
562514,20,1,2,0,India
562515,75,1,1,1,India
562520,10,1,2,0,India
562524,15,1,2,0,India
562527,15,1,2,0,India
562534,40,1,1,1,India
562548,80,1,1,1,India
562550,20,1,2,0,India
562554,20,1,2,0,India
562555,45,1,1,1,India
562559,0,2,2,0,India
562562,5,1,2,0,India
562566,10,1,2,0,India
562568,10,1,2,0,India
562574,3,1,2,0,India
562578,10,1,2,0,India
562580,5,1,2,0,India
562581,2,1,2,0,India
562583,5,1,2,0,India
562584,30,1,1,1,India
562585,2,1,2,0,India
562605,10,1,2,0,India
562606,40,1,1,1,India
562609,10,1,2,0,India
