idstd,hf1a,hf2a,hf3a,hf4a,hf5a,R&D,Country
562277,0,0,1,1,0,1,IN
562278,0,0,0,0,0,0,IN
562280,0,0,1,1,0,1,IN
562281,0,0,1,0,other,1,IN
562283,0,0,1,1,0,1,IN
562284,1,1,0,1,0,1,IN
562287,0,0,0,1,0,1,IN
562288,0,0,1,1,0,1,IN
562289,1,0,1,1,0,1,IN
562291,1,0,1,1,0,1,IN
562298,0,0,1,1,0,1,IN
562304,0,0,0,1,0,1,IN
562305,1,1,1,1,0,1,IN
562309,0,0,1,1,0,1,IN
562314,0,0,1,1,0,1,IN
562317,1,1,1,1,0,1,IN
562318,0,0,0,0,0,0,IN
562321,0,0,1,1,0,1,IN
562323,0,0,1,1,other,1,IN
562327,0,0,1,1,0,1,IN
562329,1,0,1,1,0,1,IN
562333,0,0,0,0,0,0,IN
562343,0,0,0,0,0,0,IN
562345,1,0,0,1,0,1,IN
562347,0,0,0,1,1,1,IN
562350,0,0,1,1,0,1,IN
562352,0,0,0,0,0,0,IN
562356,1,0,1,1,0,1,IN
562367,0,0,0,0,0,0,IN
562368,0,0,0,0,0,0,IN
562370,0,0,0,0,0,0,IN
562372,0,0,1,1,0,1,IN
562377,1,0,1,0,0,1,IN
562383,0,0,0,0,0,0,IN
562386,0,0,0,0,0,0,IN
562388,0,0,0,0,0,0,IN
562393,0,0,1,1,other,1,IN
562397,1,0,1,1,0,1,IN
562401,0,0,1,1,0,1,IN
562405,0,0,1,1,0,1,IN
562407,0,0,1,1,other,1,IN
562409,1,0,1,1,0,1,IN
562410,0,0,1,1,0,1,IN
562411,1,0,1,1,0,1,IN
562412,1,0,1,1,0,1,IN
562414,1,0,1,1,1,1,IN
562416,0,other,1,1,other,1,IN
562417,1,0,1,1,0,1,IN
562422,1,0,1,0,0,1,IN
562440,0,0,1,1,0,1,IN
562448,0,0,0,1,0,1,IN
562455,0,0,1,1,0,1,IN
562462,0,0,1,0,0,1,IN
562466,0,0,1,1,0,1,IN
562467,0,0,1,1,0,1,IN
562470,0,0,1,1,0,1,IN
562475,0,0,1,1,0,1,IN
562477,0,0,0,1,0,1,IN
562481,1,0,1,1,0,1,IN
562484,0,0,1,0,0,1,IN
562491,1,0,1,1,0,1,IN
562493,1,0,1,0,0,1,IN
562497,1,0,1,1,0,1,IN
562500,0,0,1,1,0,1,IN
562501,1,0,1,0,0,1,IN
562502,0,1,1,0,0,1,IN
562503,1,0,0,1,0,1,IN
562507,0,1,1,0,0,1,IN
562508,1,0,1,1,0,1,IN
562509,0,0,1,0,0,1,IN
562510,0,0,1,1,0,1,IN
562511,1,0,1,1,1,1,IN
562512,0,0,1,1,0,1,IN
562514,0,0,1,1,0,1,IN
562515,1,0,1,1,0,1,IN
562520,0,0,1,1,0,1,IN
562524,0,0,1,1,0,1,IN
562527,0,0,0,1,0,1,IN
562534,0,0,0,0,0,0,IN
562548,1,0,1,0,0,1,IN
562550,1,1,1,1,0,1,IN
562554,0,0,1,1,0,1,IN
562555,1,1,1,1,0,1,IN
562559,0,0,0,1,0,1,IN
562562,0,0,1,1,0,1,IN
562566,0,0,0,1,0,1,IN
562568,0,0,0,1,0,1,IN
562574,0,0,1,1,0,1,IN
562578,0,0,1,1,0,1,IN
562580,1,0,0,0,0,1,IN
562581,0,0,0,1,0,1,IN
562583,0,0,1,1,0,1,IN
562584,0,0,1,1,0,1,IN
562585,0,0,0,1,0,1,IN
562605,0,0,1,1,0,1,IN
562606,0,0,0,1,0,1,IN
562609,0,0,1,1,0,1,IN
562610,0,0,0,0,0,0,IN
562612,0,0,0,1,0,1,IN
562613,0,0,1,0,0,1,IN
562614,0,0,1,1,0,1,IN
562623,0,0,1,1,0,1,IN
562626,0,0,0,1,0,1,IN
562628,0,0,1,1,0,1,IN
562630,1,0,0,1,0,1,IN
562631,0,0,0,0,0,0,IN
562632,0,0,0,1,0,1,IN
562633,0,1,0,0,0,1,IN
562638,1,0,0,0,0,1,IN
562640,1,0,1,0,0,1,IN
562643,0,0,0,0,0,0,IN
562647,0,0,0,0,0,0,IN
562648,0,0,0,0,0,0,IN
562649,0,0,0,0,0,0,IN
562650,1,0,1,0,0,1,IN
562652,0,0,0,0,0,0,IN
562653,1,0,1,0,0,1,IN
562654,1,0,1,0,0,1,IN
562655,1,0,0,1,0,1,IN
562656,0,0,0,0,0,0,IN
562657,0,0,0,0,0,0,IN
562658,0,0,0,0,0,0,IN
562661,1,0,0,0,0,1,IN
562662,0,0,0,0,0,0,IN
562663,0,0,0,1,0,1,IN
562666,1,0,1,0,0,1,IN
562667,1,0,1,1,0,1,IN
562669,1,0,1,0,0,1,IN
562673,0,0,1,1,0,1,IN
562674,1,0,1,0,0,1,IN
562676,0,0,0,1,0,1,IN
562677,1,0,1,1,0,1,IN
562679,0,0,0,1,0,1,IN
562680,0,0,1,1,0,1,IN
562681,0,0,1,1,0,1,IN
562685,1,0,0,1,0,1,IN
562691,0,0,0,0,0,0,IN
562695,0,0,0,0,0,0,IN
562696,1,0,0,0,0,1,IN
562697,0,0,0,0,0,0,IN
562701,0,0,0,0,1,1,IN
562702,0,0,0,1,0,1,IN
562704,0,0,0,0,0,0,IN
562706,1,0,0,0,0,1,IN
562712,0,0,1,1,0,1,IN
562713,0,0,0,1,0,1,IN
562714,0,0,0,1,0,1,IN
562716,0,0,1,1,0,1,IN
562717,0,1,1,0,0,1,IN
562721,0,0,1,1,1,1,IN
562722,1,0,1,1,0,1,IN
562725,0,0,1,1,other,1,IN
562726,other,other,other,1,other,1,IN
562727,0,0,0,1,1,1,IN
562728,0,0,0,1,0,1,IN
562729,0,0,1,0,0,1,IN
562736,0,0,0,0,0,0,IN
562737,1,0,1,1,0,1,IN
562740,0,0,1,1,0,1,IN
562741,0,0,0,0,0,0,IN
562744,0,0,0,1,0,1,IN
562745,0,0,0,0,0,0,IN
562746,0,0,0,0,0,0,IN
562752,0,0,0,0,0,0,IN
562755,0,0,0,1,0,1,IN
562756,1,0,1,1,0,1,IN
562757,0,0,0,0,0,0,IN
562761,0,0,0,0,0,0,IN
562762,0,0,1,1,0,1,IN
562763,0,0,0,0,0,0,IN
562765,1,0,0,0,0,1,IN
562768,0,1,1,1,0,1,IN
562772,1,0,0,0,0,1,IN
562775,0,0,0,0,0,0,IN
562777,0,0,0,1,0,1,IN
562778,0,0,1,1,0,1,IN
562780,0,0,1,1,0,1,IN
562782,1,0,0,0,0,1,IN
562785,1,0,0,0,0,1,IN
562786,other,other,other,1,other,1,IN
562789,1,0,0,0,0,1,IN
562791,0,0,1,1,0,1,IN
562797,0,0,0,0,0,0,IN
562798,1,0,0,0,0,1,IN
562801,0,0,0,0,0,0,IN
562802,0,0,0,0,0,0,IN
562806,0,0,0,1,0,1,IN
562807,0,0,1,1,0,1,IN
562809,0,0,0,1,0,1,IN
562810,0,0,0,1,0,1,IN
562812,0,0,1,0,0,1,IN
562815,0,1,0,0,0,1,IN
562818,0,0,0,1,0,1,IN
562820,0,0,0,1,0,1,IN
562827,0,0,0,1,0,1,IN
562828,0,0,0,1,0,1,IN
562831,0,1,0,1,0,1,IN
562833,0,0,0,1,0,1,IN
562834,1,0,0,0,0,1,IN
562835,1,0,0,0,0,1,IN
562836,1,0,0,0,0,1,IN
562843,0,0,1,1,0,1,IN
562849,1,0,0,1,0,1,IN
562852,1,0,0,0,0,1,IN
562855,0,0,1,0,0,1,IN
562857,1,0,0,0,0,1,IN
562858,0,0,0,1,0,1,IN
562860,0,0,0,1,0,1,IN
562861,0,0,0,1,0,1,IN
562862,0,0,0,0,0,0,IN
562863,0,0,0,1,0,1,IN
562864,0,0,0,0,1,1,IN
562865,0,0,0,1,0,1,IN
562866,1,1,0,1,0,1,IN
562874,0,0,0,0,0,0,IN
562875,1,0,1,0,0,1,IN
562876,0,0,0,0,0,0,IN
562878,1,0,1,0,0,1,IN
562879,1,0,1,1,0,1,IN
562881,1,0,0,1,0,1,IN
562886,0,0,0,0,0,0,IN
562889,0,0,0,0,0,0,IN
562890,1,0,1,1,0,1,IN
562891,0,0,0,0,0,0,IN
562898,0,1,1,0,0,1,IN
562901,0,0,0,0,0,0,IN
562904,1,0,1,1,0,1,IN
562905,0,0,0,0,0,0,IN
562908,0,0,1,1,0,1,IN
562913,1,0,0,1,0,1,IN
562914,1,0,1,1,0,1,IN
562915,1,0,1,1,other,1,IN
562916,1,0,1,1,0,1,IN
562921,1,0,1,1,0,1,IN
562925,0,0,1,0,0,1,IN
562926,0,0,1,1,0,1,IN
562929,0,0,1,0,0,1,IN
562930,0,0,0,1,0,1,IN
562932,1,0,1,1,0,1,IN
562933,0,0,0,0,0,0,IN
562934,1,0,0,1,0,1,IN
562935,0,0,0,0,0,0,IN
562936,0,0,0,0,0,0,IN
562938,0,0,0,1,0,1,IN
562939,0,0,1,0,0,1,IN
562945,0,1,1,0,0,1,IN
562946,0,0,1,1,0,1,IN
562948,0,0,1,1,0,1,IN
562951,1,0,0,1,0,1,IN
562952,0,0,1,1,0,1,IN
562956,1,0,1,1,0,1,IN
562960,0,0,0,1,0,1,IN
562961,0,0,1,1,0,1,IN
562967,0,0,0,1,0,1,IN
562968,0,0,0,1,0,1,IN
562971,0,0,0,0,0,0,IN
562972,0,0,1,1,1,1,IN
562974,0,0,0,1,0,1,IN
562975,0,1,1,0,0,1,IN
562977,0,0,0,1,0,1,IN
562980,1,1,1,1,0,1,IN
562982,1,0,1,1,0,1,IN
562983,1,0,1,1,0,1,IN
562988,1,0,1,1,0,1,IN
562989,1,0,1,1,1,1,IN
562990,1,0,1,1,0,1,IN
562992,0,0,1,1,0,1,IN
562994,1,0,1,1,0,1,IN
562995,0,0,1,1,0,1,IN
562998,1,0,1,1,0,1,IN
563007,0,0,0,0,0,0,IN
563008,0,0,0,0,0,0,IN
563011,1,0,1,0,0,1,IN
563014,0,0,1,1,0,1,IN
563015,0,0,1,1,0,1,IN
563019,0,0,0,0,0,0,IN
563020,0,0,0,0,0,0,IN
563022,1,0,0,0,0,1,IN
563023,0,0,0,0,0,0,IN
563025,1,0,0,0,0,1,IN
563029,1,0,1,1,0,1,IN
563030,0,0,0,0,0,0,IN
563038,0,0,0,0,0,0,IN
563041,1,0,1,0,0,1,IN
563053,0,0,1,1,0,1,IN
563055,0,0,0,0,0,0,IN
563057,0,0,0,0,0,0,IN
563058,0,0,0,0,0,0,IN
563059,0,0,1,1,0,1,IN
563060,1,0,1,1,0,1,IN
563061,1,0,1,1,0,1,IN
563062,1,0,1,1,0,1,IN
563063,0,0,0,0,0,0,IN
563064,0,0,1,0,1,1,IN
563065,0,0,0,1,0,1,IN
563066,0,0,1,0,1,1,IN
563067,0,0,1,1,0,1,IN
563069,1,0,0,1,1,1,IN
563071,1,0,1,1,0,1,IN
563073,0,0,0,1,0,1,IN
563074,0,0,1,1,0,1,IN
563075,0,0,1,0,0,1,IN
563076,1,0,0,1,0,1,IN
563077,1,0,0,0,0,1,IN
563078,0,0,0,1,0,1,IN
563079,1,0,0,1,0,1,IN
563081,0,0,0,1,0,1,IN
563085,1,0,0,0,0,1,IN
563087,1,0,1,0,0,1,IN
563088,0,0,1,1,0,1,IN
563091,0,0,0,0,0,0,IN
563093,0,0,1,0,0,1,IN
563095,0,0,0,1,1,1,IN
563097,0,0,0,1,0,1,IN
563098,0,0,0,1,0,1,IN
563101,0,0,1,0,0,1,IN
563104,0,0,0,1,0,1,IN
563105,1,0,1,1,0,1,IN
563106,0,0,0,0,0,0,IN
563109,0,0,0,0,0,0,IN
563110,0,0,0,0,0,0,IN
563111,0,0,0,0,0,0,IN
563118,0,0,1,0,0,1,IN
563120,1,0,1,1,0,1,IN
563122,0,0,1,0,0,1,IN
563125,1,0,1,1,0,1,IN
563131,0,1,0,0,0,1,IN
563132,0,0,0,0,0,0,IN
563135,0,0,0,1,0,1,IN
563138,0,0,1,0,0,1,IN
563146,0,0,0,0,1,1,IN
563147,1,0,1,1,0,1,IN
563149,0,0,1,1,0,1,IN
563151,0,0,1,1,0,1,IN
563155,0,1,1,1,0,1,IN
563156,0,1,1,1,0,1,IN
563161,0,0,0,0,0,0,IN
563162,0,0,0,0,0,0,IN
563168,0,0,0,0,0,0,IN
563170,0,0,1,0,0,1,IN
563173,0,0,1,0,0,1,IN
563175,1,0,1,0,0,1,IN
563176,0,0,1,1,0,1,IN
563178,0,0,1,1,0,1,IN
563179,0,0,1,1,0,1,IN
563180,1,0,1,1,0,1,IN
563181,0,0,1,1,0,1,IN
563182,1,0,0,0,0,1,IN
563186,0,0,0,0,0,0,IN
563188,0,0,0,0,0,0,IN
563192,0,0,0,0,0,0,IN
563194,1,0,1,1,0,1,IN
563202,0,0,1,0,0,1,IN
563205,0,0,1,0,0,1,IN
563207,0,0,1,0,0,1,IN
563213,0,0,1,1,0,1,IN
563215,0,0,1,1,0,1,IN
563218,1,0,0,0,0,1,IN
563219,0,0,0,0,0,0,IN
563222,0,0,1,1,0,1,IN
563225,0,0,0,0,0,0,IN
563231,0,0,0,0,0,0,IN
563235,other,other,other,other,other,,IN
563247,1,0,1,0,0,1,IN
563249,0,0,0,0,0,0,IN
563253,1,1,0,0,0,1,IN
563255,1,0,0,0,0,1,IN
563257,1,1,0,0,0,1,IN
563263,0,0,0,0,0,0,IN
563269,0,0,0,0,0,0,IN
563270,1,0,0,0,0,1,IN
563272,0,0,0,0,0,0,IN
563274,1,0,1,0,0,1,IN
563277,0,0,0,0,0,0,IN
563279,1,0,1,0,0,1,IN
563285,0,0,0,0,0,0,IN
563286,0,0,0,0,0,0,IN
563288,1,1,1,0,0,1,IN
563290,0,0,0,0,0,0,IN
563291,other,0,0,0,0,0,IN
563292,1,0,1,1,0,1,IN
563295,0,0,0,0,0,0,IN
563296,0,0,0,0,0,0,IN
563298,1,0,1,0,0,1,IN
563301,1,1,0,1,0,1,IN
563306,1,0,1,1,0,1,IN
563307,1,other,0,1,0,1,IN
563309,1,other,0,1,other,1,IN
563310,1,0,1,1,0,1,IN
563312,0,0,0,0,0,0,IN
563314,0,0,0,0,0,0,IN
563315,1,1,1,1,0,1,IN
563316,1,0,0,1,0,1,IN
563317,1,0,0,0,0,1,IN
563320,0,0,0,0,0,0,IN
563321,1,1,0,0,0,1,IN
563322,1,0,0,0,0,1,IN
563325,1,0,1,1,0,1,IN
563332,0,0,0,0,0,0,IN
563337,0,0,1,1,0,1,IN
563345,1,0,0,0,0,1,IN
563346,0,1,0,0,0,1,IN
563348,0,0,0,1,0,1,IN
563350,0,0,0,0,0,0,IN
563351,other,0,0,0,0,0,IN
563352,1,0,1,1,0,1,IN
563353,1,0,0,0,0,1,IN
563354,0,0,1,0,0,1,IN
563356,1,0,1,0,0,1,IN
563358,1,0,0,0,0,1,IN
563359,1,1,1,1,0,1,IN
563360,1,0,0,0,0,1,IN
563365,1,0,1,1,0,1,IN
563378,1,0,0,0,0,1,IN
563381,0,0,0,0,0,0,IN
563384,0,0,0,0,0,0,IN
563385,1,0,1,1,0,1,IN
563386,1,1,1,1,0,1,IN
563393,0,0,0,0,0,0,IN
563394,0,0,0,0,0,0,IN
563397,0,0,0,0,0,0,IN
563399,1,0,0,0,0,1,IN
563401,0,0,0,0,0,0,IN
563402,0,0,0,0,0,0,IN
563405,0,0,0,0,0,0,IN
563407,0,0,0,0,0,0,IN
563410,1,0,1,0,0,1,IN
563411,1,0,1,1,0,1,IN
563415,1,1,1,1,0,1,IN
563416,0,0,1,1,0,1,IN
563419,1,1,1,0,0,1,IN
563422,1,0,0,0,0,1,IN
563423,1,0,1,1,0,1,IN
563425,0,1,0,1,0,1,IN
563427,0,0,0,0,0,0,IN
563429,0,0,0,0,0,0,IN
563431,1,0,1,1,0,1,IN
563432,1,0,0,0,0,1,IN
563433,1,1,0,0,0,1,IN
563436,1,0,1,1,0,1,IN
563439,1,0,0,0,0,1,IN
563440,1,0,1,1,0,1,IN
563443,0,0,0,0,0,0,IN
563444,0,0,0,0,0,0,IN
563448,0,0,0,0,0,0,IN
563449,1,0,1,1,0,1,IN
563451,1,0,0,0,0,1,IN
563456,1,0,1,0,0,1,IN
563459,0,0,0,1,0,1,IN
563460,0,0,0,1,other,1,IN
563461,0,0,0,0,0,0,IN
563462,0,0,0,1,0,1,IN
563465,0,0,1,0,0,1,IN
563467,0,0,0,1,0,1,IN
563468,1,0,0,0,1,1,IN
563469,1,0,0,0,0,1,IN
563471,0,0,1,1,0,1,IN
563472,1,0,1,1,0,1,IN
563473,0,0,1,1,0,1,IN
563474,0,0,0,0,0,0,IN
563475,0,0,0,0,0,0,IN
563476,0,0,0,0,0,0,IN
563478,0,0,0,1,0,1,IN
563480,0,0,1,1,0,1,IN
563481,0,0,0,0,0,0,IN
563489,0,0,1,1,0,1,IN
563490,1,0,1,0,0,1,IN
563491,0,0,0,1,0,1,IN
563492,1,1,1,0,0,1,IN
563493,0,0,0,0,0,0,IN
563495,1,0,1,0,0,1,IN
563496,0,0,1,0,0,1,IN
563497,0,0,1,1,0,1,IN
563498,0,0,0,0,0,0,IN
563501,1,1,0,0,0,1,IN
563503,0,0,0,0,0,0,IN
563504,0,0,0,0,0,0,IN
563515,0,0,0,0,0,0,IN
563518,1,0,0,0,0,1,IN
563521,0,0,0,0,0,0,IN
563525,1,0,0,0,0,1,IN
563528,0,0,1,1,0,1,IN
563533,0,0,0,0,0,0,IN
563535,0,0,0,0,0,0,IN
563537,0,0,0,0,0,0,IN
563538,0,0,0,0,0,0,IN
563539,0,0,0,0,0,0,IN
563542,0,0,0,0,0,0,IN
563545,0,0,0,0,0,0,IN
563551,0,0,0,0,0,0,IN
563552,0,0,0,1,0,1,IN
563553,0,0,0,0,0,0,IN
563556,0,0,0,0,0,0,IN
563559,0,0,0,0,0,0,IN
563560,0,0,0,0,0,0,IN
563563,0,0,0,0,0,0,IN
563564,0,0,0,0,0,0,IN
563568,0,0,0,0,0,0,IN
563571,0,0,0,0,0,0,IN
563573,0,0,0,0,0,0,IN
563575,0,0,0,0,0,0,IN
563578,1,0,1,1,0,1,IN
563579,0,0,0,0,0,0,IN
563580,0,0,0,0,0,0,IN
563581,0,0,0,0,0,0,IN
563583,1,0,0,0,0,1,IN
563584,0,0,1,1,0,1,IN
563587,0,0,0,0,0,0,IN
563588,0,0,0,0,0,0,IN
563589,0,0,1,0,0,1,IN
563590,0,0,0,0,0,0,IN
563591,0,0,0,0,0,0,IN
563592,0,0,0,0,0,0,IN
563593,0,0,0,0,0,0,IN
563598,1,0,0,0,0,1,IN
563599,0,0,0,0,0,0,IN
563600,0,0,1,1,0,1,IN
563603,0,0,1,1,0,1,IN
563605,0,0,1,1,1,1,IN
563606,0,1,1,0,0,1,IN
563611,1,0,1,1,0,1,IN
563619,0,0,1,0,0,1,IN
563622,0,0,0,0,0,0,IN
563627,0,0,1,1,0,1,IN
563629,0,0,1,1,0,1,IN
563631,0,0,1,1,0,1,IN
563633,0,1,0,1,0,1,IN
563634,1,0,1,1,0,1,IN
563635,0,1,1,1,0,1,IN
563636,1,0,0,1,0,1,IN
563637,0,0,1,1,0,1,IN
563639,0,0,1,1,0,1,IN
563640,0,0,0,1,1,1,IN
563641,0,0,0,0,0,0,IN
563642,0,0,1,1,0,1,IN
563646,1,0,1,1,0,1,IN
563650,0,0,1,other,0,1,IN
563651,1,0,1,1,0,1,IN
563655,1,0,1,1,0,1,IN
563660,1,0,0,1,0,1,IN
563663,0,0,0,1,0,1,IN
563664,0,0,1,1,0,1,IN
563665,0,1,1,0,0,1,IN
563671,0,0,0,1,0,1,IN
563679,0,0,0,1,0,1,IN
563681,1,0,0,0,0,1,IN
563684,0,0,0,0,0,0,IN
563685,0,0,0,0,0,0,IN
563688,0,0,1,1,0,1,IN
563698,0,0,0,0,0,0,IN
563699,0,0,0,0,0,0,IN
563704,1,0,1,1,0,1,IN
563709,0,0,1,1,0,1,IN
563711,0,0,0,1,0,1,IN
563715,0,0,0,1,0,1,IN
563716,1,0,0,1,1,1,IN
563719,0,0,1,1,0,1,IN
563720,0,0,0,1,0,1,IN
563722,1,0,0,0,0,1,IN
563725,1,0,0,0,0,1,IN
563733,0,0,1,1,0,1,IN
563734,0,0,0,0,0,0,IN
563740,0,0,0,1,0,1,IN
563741,0,1,1,0,0,1,IN
563743,0,0,0,1,0,1,IN
563744,0,0,1,1,0,1,IN
563756,0,0,0,0,0,0,IN
563764,0,0,0,0,0,0,IN
563769,1,0,0,0,0,1,IN
563774,0,0,0,0,0,0,IN
563780,0,0,0,0,0,0,IN
563783,0,0,0,0,0,0,IN
563785,1,0,1,0,0,1,IN
563786,0,0,0,0,0,0,IN
563787,0,0,0,1,0,1,IN
563789,1,0,1,0,0,1,IN
563794,0,0,0,0,0,0,IN
563797,0,0,0,1,0,1,IN
563799,0,1,0,1,0,1,IN
563801,1,0,1,0,0,1,IN
563802,0,0,0,0,0,0,IN
563804,0,0,0,0,0,0,IN
563805,1,0,1,1,0,1,IN
563806,1,0,1,1,0,1,IN
563809,0,0,0,1,0,1,IN
563810,1,0,1,1,0,1,IN
563811,0,0,0,1,0,1,IN
563812,0,0,1,1,0,1,IN
563817,0,0,0,0,0,0,IN
563819,0,1,1,0,0,1,IN
563821,0,0,0,0,0,0,IN
563822,0,0,0,1,0,1,IN
563823,0,0,0,0,0,0,IN
563824,0,0,0,0,0,0,IN
563825,other,0,0,1,1,1,IN
563829,0,0,1,0,0,1,IN
563833,0,0,0,1,0,1,IN
563834,0,0,0,1,0,1,IN
563839,0,0,1,0,0,1,IN
563840,0,0,0,1,0,1,IN
563844,0,0,0,0,0,0,IN
563845,0,0,1,1,0,1,IN
563846,0,0,0,0,0,0,IN
563847,0,0,1,1,0,1,IN
563850,0,0,0,0,0,0,IN
563851,0,0,0,1,0,1,IN
563853,0,0,0,1,1,1,IN
563854,0,0,1,0,0,1,IN
563857,1,0,0,1,0,1,IN
563861,0,0,0,0,0,0,IN
563862,0,0,0,0,0,0,IN
563865,0,0,0,0,0,0,IN
563866,0,0,0,1,0,1,IN
563869,0,0,0,0,0,0,IN
563870,0,0,0,1,0,1,IN
563871,0,0,0,1,0,1,IN
563872,0,0,0,1,0,1,IN
563875,0,0,0,0,0,0,IN
563880,0,0,0,1,0,1,IN
563883,0,0,0,0,0,0,IN
563884,0,0,0,0,0,0,IN
563887,1,0,1,0,0,1,IN
563889,0,0,0,0,0,0,IN
563890,0,0,0,0,0,0,IN
563892,0,0,0,0,0,0,IN
563893,0,0,0,1,0,1,IN
563895,1,0,0,1,0,1,IN
563902,0,0,0,0,0,0,IN
563903,0,0,0,0,0,0,IN
563906,0,0,1,1,1,1,IN
563907,0,0,0,1,0,1,IN
563910,0,0,0,0,0,0,IN
563912,0,0,0,0,0,0,IN
563913,0,0,0,1,0,1,IN
563914,0,0,0,1,0,1,IN
563916,0,0,0,0,0,0,IN
563917,0,0,0,0,0,0,IN
563919,0,0,1,1,0,1,IN
563920,1,1,0,0,0,1,IN
563921,1,1,1,0,0,1,IN
563923,0,0,0,1,0,1,IN
563926,0,0,0,1,0,1,IN
563927,0,0,0,1,0,1,IN
563928,0,0,0,0,0,0,IN
563929,1,1,0,0,0,1,IN
563930,0,0,1,1,0,1,IN
563931,0,0,0,1,0,1,IN
563933,0,1,0,0,0,1,IN
563937,0,0,0,0,0,0,IN
563938,0,0,0,0,0,0,IN
563939,0,0,0,0,0,0,IN
563943,0,0,0,0,0,0,IN
563944,0,0,0,0,0,0,IN
563945,0,0,1,1,0,1,IN
563949,0,0,0,0,0,0,IN
563952,0,0,0,1,0,1,IN
563953,0,0,0,0,0,0,IN
563954,0,0,other,1,1,1,IN
563956,0,0,0,0,0,0,IN
563957,0,0,0,1,0,1,IN
563958,0,0,0,1,0,1,IN
563961,0,0,0,0,0,0,IN
563967,0,0,1,0,0,1,IN
563969,0,0,1,1,0,1,IN
563970,0,0,0,0,0,0,IN
563971,0,0,0,0,0,0,IN
563972,0,0,0,1,0,1,IN
563974,0,0,0,1,0,1,IN
563976,0,0,0,0,0,0,IN
563977,0,0,0,0,0,0,IN
563978,0,0,0,0,0,0,IN
563980,0,0,0,0,0,0,IN
563983,0,0,0,0,0,0,IN
563985,0,0,0,1,0,1,IN
563986,1,0,0,0,0,1,IN
563988,0,0,0,0,0,0,IN
563994,0,0,1,1,0,1,IN
563999,0,0,0,0,0,0,IN
564000,1,1,0,0,0,1,IN
564003,0,0,0,0,0,0,IN
564008,0,0,0,0,0,0,IN
564011,1,0,1,0,1,1,IN
564014,1,0,0,0,0,1,IN
564017,1,1,0,0,0,1,IN
564019,0,0,0,1,0,1,IN
564032,0,0,1,1,0,1,IN
564036,0,0,0,1,0,1,IN
564045,0,0,0,0,0,0,IN
564047,other,other,1,1,0,1,IN
564050,0,0,1,0,0,1,IN
564053,0,0,1,1,0,1,IN
564056,1,0,1,1,0,1,IN
564057,0,0,1,0,0,1,IN
564065,1,1,1,0,0,1,IN
564067,1,1,0,0,0,1,IN
564075,0,0,1,1,0,1,IN
564076,1,0,1,0,0,1,IN
564077,0,0,0,0,0,0,IN
564080,other,0,1,1,0,1,IN
564081,0,0,0,0,0,0,IN
564085,1,1,0,0,0,1,IN
564088,0,0,0,0,0,0,IN
564089,0,0,0,0,0,0,IN
564092,0,0,1,0,0,1,IN
564103,1,0,1,1,other,1,IN
564105,0,0,1,1,0,1,IN
564107,0,0,0,0,0,0,IN
564109,0,0,0,0,0,0,IN
564111,0,0,0,0,0,0,IN
564113,0,0,0,0,0,0,IN
564116,1,0,0,0,0,1,IN
564117,0,0,0,0,0,0,IN
564120,0,0,1,0,0,1,IN
564122,0,0,0,1,0,1,IN
564125,0,0,1,1,0,1,IN
564126,1,0,1,1,0,1,IN
564135,0,0,1,1,0,1,IN
564137,0,0,0,0,0,0,IN
564142,0,0,1,1,0,1,IN
564143,0,1,0,0,0,1,IN
564146,0,0,1,1,0,1,IN
564151,0,0,1,0,0,1,IN
564152,0,0,1,1,0,1,IN
564153,0,0,0,0,0,0,IN
564154,0,0,0,0,0,0,IN
564155,0,0,1,1,0,1,IN
564157,0,0,0,0,0,0,IN
564158,1,0,0,1,0,1,IN
564159,0,other,0,1,0,1,IN
564160,0,0,0,1,0,1,IN
