idstd,Ancienneté,size_Large,size_Medium,size_Small
562277,10.0,0,1,0
562278,31.0,1,0,0
562280,38.0,0,1,0
562281,23.0,1,0,0
562283,3.0,0,1,0
562284,4.0,1,0,0
562287,11.0,1,0,0
562288,11.0,0,1,0
562289,17.0,1,0,0
562291,7.0,1,0,0
562298,3.0,0,1,0
562304,21.0,0,1,0
562305,28.0,0,1,0
562309,7.0,1,0,0
562314,3.0,0,1,0
562317,4.0,0,1,0
562318,3.0,0,1,0
562321,8.0,1,0,0
562323,3.0,0,0,1
562327,8.0,0,1,0
562329,18.0,0,1,0
562333,29.0,0,1,0
562343,9.0,0,1,0
562345,3.0,0,0,1
562347,7.0,0,1,0
562350,3.0,1,0,0
562352,6.0,0,1,0
562356,7.0,0,1,0
562367,11.0,0,0,1
562368,8.0,0,0,1
562370,8.0,0,1,0
562372,7.0,0,1,0
562377,10.0,0,0,1
562383,14.0,0,1,0
562386,17.0,1,0,0
562388,9.0,0,1,0
562393,8.0,1,0,0
562397,2.0,0,1,0
562401,5.0,0,1,0
562405,2.0,0,1,0
562407,2.0,0,1,0
562409,4.0,0,1,0
562410,6.0,0,1,0
562411,6.0,1,0,0
562412,7.0,0,1,0
562414,4.0,0,1,0
562416,4.0,1,0,0
562417,9.0,1,0,0
562422,14.0,0,1,0
562440,4.0,1,0,0
562448,16.0,0,1,0
562455,12.0,1,0,0
562462,10.0,0,1,0
562466,7.0,1,0,0
562467,8.0,0,0,1
562470,12.0,1,0,0
562475,8.0,0,1,0
562477,4.0,0,0,1
562481,4.0,0,0,1
562484,10.0,1,0,0
562491,17.0,0,1,0
562493,13.0,0,1,0
562497,11.0,1,0,0
562500,11.0,0,1,0
562501,3.0,1,0,0
562502,21.0,1,0,0
562503,7.0,0,1,0
562507,3.0,0,1,0
562508,23.0,1,0,0
562509,9.0,0,1,0
562510,10.0,1,0,0
562511,33.0,0,1,0
562512,6.0,1,0,0
562514,25.0,0,1,0
562515,15.0,0,1,0
562520,8.0,0,1,0
562524,4.0,0,1,0
562527,13.0,0,1,0
562534,16.0,0,1,0
562548,31.0,1,0,0
562550,12.0,0,1,0
562554,8.0,0,1,0
562555,15.0,0,1,0
562559,21.0,0,1,0
562562,5.0,0,1,0
562566,7.0,0,0,1
562568,6.0,1,0,0
562574,4.0,0,1,0
562578,7.0,0,0,1
562580,7.0,1,0,0
562581,6.0,0,1,0
562583,4.0,0,1,0
562584,24.0,0,0,1
562585,4.0,0,1,0
562605,3.0,1,0,0
562606,15.0,0,1,0
562609,12.0,1,0,0
562610,28.0,0,1,0
562612,12.0,0,1,0
562613,6.0,0,0,1
