idstd,Innovation,Inno_Product,Inno_Process,Inno_Orga,Inno_Marketing,Secteur_Service,Secteur_Production
562277,1,0,1,1,1,1,0
562278,1,0,1,1,0,1,0
562280,1,0,1,1,1,1,0
562281,1,0,1,0,1,1,0
562283,1,0,1,1,1,1,0
562284,1,0,1,1,1,1,0
562287,1,0,1,0,1,1,0
562288,1,0,1,1,1,1,0
562289,1,0,1,1,1,1,0
562291,1,1,1,0,1,1,0
562298,1,1,0,1,1,1,0
562304,1,1,0,1,1,1,0
562305,1,0,1,1,1,1,0
562309,1,0,1,1,1,1,0
562314,1,1,0,1,1,1,0
562317,1,0,1,,1,1,0
562318,1,0,1,,,1,0
562321,1,0,1,1,1,1,0
562323,1,0,0,,1,1,0
562327,1,0,0,1,1,1,0
562329,1,1,0,1,1,1,0
562333,1,0,0,1,1,1,0
562343,1,0,1,1,1,1,0
562345,1,0,1,1,1,1,0
562347,1,0,1,1,1,1,0
562350,1,0,1,0,1,1,0
562352,1,0,0,1,1,1,0
562356,1,0,1,1,1,1,0
562367,1,0,1,,1,1,0
562368,1,1,0,,1,1,0
562370,1,0,0,0,1,1,0
562372,1,0,0,1,1,1,0
562377,1,1,1,,1,1,0
562383,1,1,0,0,1,1,0
562386,1,1,0,1,1,1,0
562388,1,1,0,0,1,1,0
562393,1,0,1,1,1,1,0
562397,1,0,1,1,1,1,0
562401,1,0,1,0,1,1,0
562405,1,0,1,1,1,1,0
562407,1,1,0,0,1,1,0
562409,1,0,1,1,1,1,0
562410,1,0,1,1,1,1,0
562411,1,0,1,1,1,1,0
562412,1,0,1,1,1,1,0
562414,1,0,1,1,1,1,0
562416,1,0,1,0,1,1,0
562417,1,0,1,1,1,1,0
562422,1,1,0,0,1,1,0
562440,1,0,0,1,1,1,0
562448,1,0,1,1,1,1,0
562455,1,0,1,1,1,1,0
562462,1,1,1,1,1,1,0
562466,1,1,0,1,1,1,0
562467,1,0,1,,1,1,0
562470,1,1,1,1,1,1,0
562475,1,1,1,1,1,1,0
562477,1,0,1,1,1,1,0
562481,1,1,0,,1,1,0
562484,1,1,0,1,1,1,0
562491,1,1,1,1,1,1,0
562493,1,0,1,0,1,1,0
562497,1,0,1,1,1,1,0
562500,1,0,1,1,1,1,0
562501,1,1,1,1,1,1,0
562502,1,1,1,1,1,1,0
562503,1,1,1,0,1,1,0
562507,1,0,1,1,1,1,0
562508,1,0,1,1,1,1,0
562509,1,0,1,1,1,1,0
562510,1,0,1,1,1,1,0
562511,1,0,1,1,1,1,0
562512,1,1,1,1,1,1,0
562514,1,0,1,1,1,1,0
562515,1,0,1,1,1,1,0
562520,1,1,1,0,1,1,0
562524,1,0,1,1,1,1,0
562527,1,1,1,1,1,1,0
562534,1,1,0,1,1,1,0
562548,1,0,0,0,1,1,0
562550,1,0,1,1,1,1,0
562554,1,0,1,1,1,1,0
562555,1,0,1,1,1,1,0
562559,1,0,1,1,,1,0
562562,1,0,1,1,1,1,0
562566,1,0,1,,,1,0
562568,1,0,1,1,1,1,0
562574,1,1,1,0,1,1,0
562578,1,1,1,,1,1,0
562580,1,1,1,1,1,1,0
562581,1,0,1,,1,1,0
562583,1,0,1,1,1,1,0
562584,1,0,1,,1,1,0
562585,1,1,1,1,1,1,0
562605,1,0,1,0,0,1,0
562606,1,0,1,0,1,1,0
562609,1,1,1,1,0,1,0
562610,1,0,1,0,0,1,0
562612,1,1,1,1,0,1,0
562613,1,1,0,,0,1,0
562614,1,1,0,0,0,1,0
562623,1,0,1,1,1,1,0
562626,1,0,1,0,1,1,0
562628,1,0,1,1,1,1,0
562630,1,0,1,,1,1,0
562631,1,1,0,0,0,1,0
562632,1,0,1,1,0,1,0
562633,1,1,0,0,0,1,0
562638,1,1,0,1,1,1,0
562640,1,0,1,1,1,1,0
562643,1,0,1,1,1,0,0
562647,1,1,0,1,1,1,0
562648,1,1,0,1,1,1,0
562649,1,1,0,,1,1,0
562650,1,1,0,1,1,1,0
562652,1,1,0,0,1,1,0
562653,1,1,1,1,1,1,0
562654,1,1,0,1,1,1,0
562655,1,0,1,1,1,1,0
562656,1,1,0,,1,1,0
562657,1,1,0,1,1,1,0
562658,1,1,1,1,1,1,0
562661,1,1,0,1,1,1,0
562662,1,1,0,1,1,1,0
562663,1,0,1,1,1,1,0
562666,1,1,1,1,0,1,0
562667,1,0,1,1,0,1,0
562669,1,1,1,1,0,1,0
562673,1,1,0,,0,1,0
562674,1,0,1,0,0,1,0
562676,1,0,1,,0,1,0
562677,1,0,1,,0,1,0
562679,1,0,1,1,0,1,0
562680,1,0,1,1,0,1,0
562681,1,0,1,1,1,1,0
562685,1,0,1,1,1,1,0
562691,1,1,0,,0,1,0
562695,1,1,0,1,1,0,0
562696,1,1,0,1,1,0,0
562697,1,1,1,1,1,0,0
