,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
2,527763,-0.19848323294649145,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
3,527764,-0.8998730010704739,0,1,0,0.0,1.0,0,0,0.0,0.0,0,1,0
4,527765,-0.1283442561340932,1,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0
5,527766,2.326519932299845,1,0,0,0.0,1.0,0,0,0.0,1.0,0,1,0
6,527767,-0.6894560706332792,0,1,0,0.0,1.0,0,0,0.0,0.0,0,1,0
7,527768,0.08207267430310153,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
8,527769,-0.9700119778828721,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
9,527770,-0.8297340242580756,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
10,527771,-0.6193170938208808,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
12,527773,0.6431844888022875,0,1,0,0.0,1.0,1,0,0.0,1.0,0,1,0
13,527774,-0.1283442561340932,0,1,0,0.0,1.0,1,0,0.0,0.0,0,1,0
15,527776,-0.5491781170084826,0,1,0,1.0,1.0,0,0,1.0,1.0,0,1,0
16,527777,-0.6193170938208808,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
19,527780,-0.7595950474456774,0,1,0,0.0,1.0,1,0,1.0,1.0,0,1,0
24,527785,-0.4790391401960844,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
33,527794,-0.4089001633836862,0,1,0,0.0,1.0,1,0,1.0,1.0,0,1,0
42,527803,-0.4790391401960844,0,1,0,0.0,1.0,1,0,0.0,1.0,0,1,0
63,527824,0.222350627927898,0,1,0,1.0,1.0,0,0,0.0,1.0,0,1,0
64,527825,0.011933697490703289,1,0,0,1.0,1.0,0,0,0.0,1.0,0,1,0
67,527828,-0.19848323294649145,0,0,1,0.0,1.0,0,0,0.0,1.0,0,1,0
84,527845,0.5730455119898892,0,1,0,0.0,1.0,0,0,0.0,1.0,0,1,0
94,527855,0.011933697490703289,0,0,1,0.0,1.0,1,0,1.0,1.0,0,1,0
99,527860,-0.4790391401960844,0,1,0,0.0,1.0,1,0,0.0,0.0,0,1,0
101,527862,0.7133234656146857,0,0,1,0.0,1.0,1,0,1.0,1.0,0,1,0
105,527866,-1.1102899315076686,0,1,0,0.0,0.0,1,0,0.0,0.0,0,1,0
107,527868,1.0640183496766769,1,0,0,1.0,1.0,1,0,1.0,1.0,0,1,0
108,527869,1.9056860714254558,1,0,0,1.0,1.0,1,0,1.0,1.0,0,1,0
111,527872,-0.5491781170084826,0,1,0,1.0,1.0,1,0,1.0,0.0,0,1,0
112,527873,-1.1804289083200667,0,1,0,0.0,0.0,1,0,0.0,0.0,0,1,0
113,527874,-1.1102899315076686,1,0,0,0.0,1.0,0,0,1.0,1.0,0,1,0
114,527875,-0.6894560706332792,0,1,0,0.0,1.0,1,0,0.0,1.0,0,1,0
