,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA,innovation2
0,527763,-0.1984832329464914,0,1,0,0.0,0,0,0.0,1.0,0,1,0,4.0
1,527764,-0.8998730010704739,0,1,0,0.0,0,0,0.0,0.0,0,1,0,2.0
2,527765,-0.1283442561340932,1,0,0,0.0,0,0,0.0,0.0,0,1,0,0.0
3,527766,2.326519932299845,1,0,0,0.0,0,0,0.0,1.0,0,1,0,1.0
4,527767,-0.6894560706332792,0,1,0,0.0,0,0,0.0,0.0,0,1,0,1.0
5,527768,0.0820726743031015,0,1,0,0.0,0,0,0.0,1.0,0,1,0,1.0
6,527769,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,1,0,1.0
7,527770,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,1,0,1.0
8,527771,-0.6193170938208808,0,1,0,0.0,0,0,0.0,1.0,0,1,0,2.0
9,527773,0.6431844888022875,0,1,0,0.0,1,0,0.0,1.0,0,1,0,4.0
10,527774,-0.1283442561340932,0,1,0,0.0,1,0,0.0,0.0,0,1,0,2.0
11,527776,-0.5491781170084826,0,1,0,1.0,0,0,1.0,1.0,0,1,0,2.0
12,527777,-0.6193170938208808,0,1,0,0.0,0,0,0.0,1.0,0,1,0,3.0
13,527780,-0.7595950474456774,0,1,0,0.0,1,0,1.0,1.0,0,1,0,2.0
14,527785,-0.4790391401960844,0,1,0,0.0,0,0,0.0,1.0,0,1,0,2.0
15,527794,-0.4089001633836862,0,1,0,0.0,1,0,1.0,1.0,0,1,0,4.0
16,527803,-0.4790391401960844,0,1,0,0.0,1,0,0.0,1.0,0,1,0,3.0
17,527824,0.222350627927898,0,1,0,1.0,0,0,0.0,1.0,0,1,0,4.0
18,527825,0.0119336974907032,1,0,0,1.0,0,0,0.0,1.0,0,1,0,4.0
19,527828,-0.1984832329464914,0,0,1,0.0,0,0,0.0,1.0,0,1,0,2.0
20,527845,0.5730455119898892,0,1,0,0.0,0,0,0.0,1.0,0,1,0,3.0
21,527855,0.0119336974907032,0,0,1,0.0,1,0,1.0,1.0,0,1,0,2.0
22,527860,-0.4790391401960844,0,1,0,0.0,1,0,0.0,0.0,0,1,0,1.0
23,527862,0.7133234656146857,0,0,1,0.0,1,0,1.0,1.0,0,1,0,2.0
24,527866,-1.1102899315076686,0,1,0,0.0,1,0,0.0,0.0,0,1,0,0.0
25,527868,1.0640183496766769,1,0,0,1.0,1,0,1.0,1.0,0,1,0,2.0
26,527869,1.905686071425456,1,0,0,1.0,1,0,1.0,1.0,0,1,0,3.0
27,527872,-0.5491781170084826,0,1,0,1.0,1,0,1.0,0.0,0,1,0,1.0
28,527873,-1.1804289083200667,0,1,0,0.0,1,0,0.0,0.0,0,1,0,0.0
29,527874,-1.1102899315076686,1,0,0,0.0,0,0,1.0,1.0,0,1,0,3.0
